Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
Public Class,io.seata.compressor.sevenz.SevenZUtilTest,1,0,2,0,2,0,2,14,1,0,4,NO
Public Class,io.seata.compressor.zip.ZipCompressor,1,0,2,0,2,0,2,10,1,0,2,NO
Public Class,io.seata.compressor.zip.ZipCompressorTest,1,0,1,0,1,0,1,10,1,0,1,NO
Public Class,io.seata.compressor.zip.ZipUtil,0,0,0,0,2,0,2,37,1,0,8,NO
Public Class,io.seata.compressor.zip.ZipUtilTest,1,0,2,0,2,0,2,14,1,0,4,NO
Public Class,io.seata.config.apollo.ApolloConfiguration,11,0,11,1,39,7,9,143,2,91,35,NO
Public Class,io.seata.config.apollo.ApolloConfigurationProvider,2,0,1,0,1,0,1,6,1,0,1,NO
Public Class,io.seata.config.ConfigFuture,2,0,13,6,13,1,12,79,1,71,20,NO
Public Class,io.seata.config.ConfigurationCache,5,0,3,1,5,0,5,68,1,80,18,NO
Public Class,io.seata.config.ConfigurationChangeEvent,1,0,13,5,13,0,13,56,1,76,13,NO
Public Class,io.seata.config.ConfigurationFactory,11,0,0,0,4,2,1,109,1,50,27,NO
Public Class,io.seata.config.consul.ConsulConfiguration,11,0,10,2,35,3,9,159,2,81,29,NO
Public Class,io.seata.config.consul.ConsulConfigurationProvider,2,0,1,0,1,0,1,6,1,0,1,NO
Public Class,io.seata.config.custom.CustomConfigurationProvider,6,0,1,0,1,0,1,17,1,0,4,NO
Public Class,io.seata.config.CustomConfigurationForTest,1,0,9,1,32,0,9,43,2,77,10,NO
Public Class,io.seata.config.CustomConfigurationProviderForTest,2,0,1,0,1,0,1,6,1,0,1,NO
Public Class,io.seata.config.CustomConfigurationTest,3,0,1,0,1,0,1,17,1,0,2,NO
Public Class,io.seata.config.etcd3.EtcdConfiguration,11,0,10,2,35,3,9,192,2,81,35,NO
Public Class,io.seata.config.etcd3.EtcdConfigurationProvider,2,0,1,0,1,0,1,6,1,0,1,NO
Public Class,io.seata.config.file.SimpleFileConfig,1,0,3,1,3,0,3,18,1,0,4,NO
Public Class,io.seata.config.file.YamlFileConfig,0,0,2,1,2,0,2,31,1,0,7,NO
Public Class,io.seata.config.FileConfigFactory,2,0,0,0,6,2,4,37,1,0,7,NO
Public Class,io.seata.config.FileConfiguration,12,0,12,9,35,1,11,263,2,82,35,NO
Public Class,io.seata.config.nacos.NacosConfiguration,7,0,9,1,40,8,9,198,2,80,45,NO
Public Class,io.seata.config.nacos.NacosConfigurationProvider,2,0,1,0,1,0,1,6,1,0,1,NO
Public Class,io.seata.config.springcloud.SpringApplicationContextProvider,2,0,1,0,1,0,1,6,1,0,1,NO
Public Class,io.seata.config.springcloud.SpringApplicationContextProviderRegistrar,2,0,1,0,1,0,1,8,1,0,2,NO
Public Class,io.seata.config.springcloud.SpringCloudConfiguration,3,0,9,0,33,1,9,54,2,90,14,NO
Public Class,io.seata.config.springcloud.SpringCloudConfigurationProvider,2,0,1,0,1,0,1,6,1,0,1,NO
Public Class,io.seata.config.zk.DefaultZkSerializer,0,0,2,0,2,0,2,10,1,0,2,NO
Public Class,io.seata.config.zk.ZookeeperConfiguration,9,0,10,1,33,1,9,198,2,70,38,NO
Public Class,io.seata.config.zk.ZookeeperConfigurationProvider,2,0,1,0,1,0,1,10,1,0,2,NO
Public Class,io.seata.core.auth.DefaultAuthSigner,0,0,1,0,1,0,1,6,1,0,1,NO
Public Class,io.seata.core.compressor.CompressorFactory,6,0,0,0,1,0,1,22,1,0,2,NO
Public Class,io.seata.core.constants.DubboConstants,0,0,0,0,0,0,0,12,1,0,0,NO
Public Class,io.seata.core.constants.RedisKeyConstants,0,0,0,0,0,0,0,25,1,0,0,NO
Public Class,io.seata.core.context.ContextCoreLoader,2,0,1,0,2,1,1,10,1,0,2,NO
Public Class,io.seata.core.context.ContextCoreTest,2,0,3,5,3,0,3,42,1,6,3,NO
Public Class,io.seata.core.context.FastThreadLocalContextCore,0,0,4,1,4,0,4,23,1,0,4,NO
