Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
Public Class,net.sf.mpxj.primavera.schema.ProjectProfileType,2,0,18,9,18,0,18,84,1,88,18,YES
Public Class,net.sf.mpxj.primavera.schema.ProjectResourceCategoryType,1,0,12,6,12,0,12,57,1,83,12,YES
Public Class,net.sf.mpxj.primavera.schema.ProjectResourceQuantityType,1,0,38,19,38,0,38,174,1,94,38,YES
Public Class,net.sf.mpxj.primavera.schema.ProjectResourceSpreadType,1,0,17,9,17,0,17,1049,1,88,18,YES
Public Class,net.sf.mpxj.primavera.schema.ProjectResourceType,2,0,46,23,46,0,46,210,1,95,46,YES
Public Class,net.sf.mpxj.primavera.schema.ProjectRoleSpreadType,1,0,15,8,15,0,15,1040,1,87,16,YES
Public Class,net.sf.mpxj.primavera.schema.ProjectSpendingPlanType,1,0,30,15,30,0,30,138,1,93,30,YES
Public Class,net.sf.mpxj.primavera.schema.ProjectThresholdType,1,0,46,23,46,0,46,210,1,95,46,YES
Public Class,net.sf.mpxj.primavera.schema.ProjectType,2,0,635,334,635,0,635,3009,1,99,668,YES
Public Class,net.sf.mpxj.primavera.schema.RelationshipType,1,0,62,31,62,0,62,282,1,96,62,YES
Public Class,net.sf.mpxj.primavera.schema.ResourceAccessType,1,0,18,9,18,0,18,84,1,88,18,YES
Public Class,net.sf.mpxj.primavera.schema.ResourceAssignmentCreateType,1,0,32,16,32,0,32,147,1,93,32,YES
Public Class,net.sf.mpxj.primavera.schema.ResourceAssignmentPeriodActualType,1,0,28,14,28,0,28,129,1,92,28,YES
Public Class,net.sf.mpxj.primavera.schema.ResourceAssignmentSpreadType,1,0,7,4,7,0,7,504,1,75,8,YES
Public Class,net.sf.mpxj.primavera.schema.ResourceAssignmentType,3,0,203,102,203,0,203,921,1,99,204,YES
Public Class,net.sf.mpxj.primavera.schema.ResourceAssignmentUpdateType,1,0,46,23,46,0,46,210,1,95,46,YES
Public Class,net.sf.mpxj.primavera.schema.ResourceCodeAssignmentType,1,0,24,12,24,0,24,111,1,91,24,YES
Public Class,net.sf.mpxj.primavera.schema.ResourceCodeType,1,0,22,11,22,0,22,102,1,90,22,YES
Public Class,net.sf.mpxj.primavera.schema.ResourceCodeTypeType,1,0,18,9,18,0,18,84,1,88,18,YES
Public Class,net.sf.mpxj.primavera.schema.ResourceCurveType,2,0,16,8,16,0,16,75,1,87,16,YES
Public Class,net.sf.mpxj.primavera.schema.ResourceCurveValuesType,0,0,42,21,42,0,42,192,1,95,42,YES
Public Class,net.sf.mpxj.primavera.schema.ResourceHourType,1,0,56,28,56,0,56,255,1,96,56,YES
Public Class,net.sf.mpxj.primavera.schema.ResourceLocationType,1,0,16,8,16,0,16,75,1,87,16,YES
Public Class,net.sf.mpxj.primavera.schema.ResourceRateType,1,0,32,16,32,0,32,147,1,93,32,YES
Public Class,net.sf.mpxj.primavera.schema.ResourceRequestType,1,0,21,11,21,0,21,137,1,90,22,YES
Public Class,net.sf.mpxj.primavera.schema.ResourceRoleType,1,0,22,11,22,0,22,102,1,90,22,YES
Public Class,net.sf.mpxj.primavera.schema.ResourceTeamType,1,0,19,10,19,0,19,93,1,90,20,YES
Public Class,net.sf.mpxj.primavera.schema.ResourceType,1,0,99,51,99,0,99,462,1,98,102,YES
Public Class,net.sf.mpxj.primavera.schema.RiskCategoryType,1,0,16,8,16,0,16,75,1,87,16,YES
Public Class,net.sf.mpxj.primavera.schema.RiskImpactType,1,0,34,17,34,0,34,156,1,94,34,YES
Public Class,net.sf.mpxj.primavera.schema.RiskMatrixScoreType,1,0,52,26,52,0,52,237,1,96,52,YES
Public Class,net.sf.mpxj.primavera.schema.RiskMatrixThresholdType,1,0,16,8,16,0,16,75,1,87,16,YES
Public Class,net.sf.mpxj.primavera.schema.RiskMatrixType,1,0,20,10,20,0,20,93,1,90,20,YES
Public Class,net.sf.mpxj.primavera.schema.RiskResponseActionImpactType,1,0,38,19,38,0,38,174,1,94,38,YES
Public Class,net.sf.mpxj.primavera.schema.RiskResponseActionType,1,0,68,34,68,0,68,309,1,97,68,YES
Public Class,net.sf.mpxj.primavera.schema.RiskResponsePlanType,1,0,54,27,54,0,54,246,1,96,54,YES
Public Class,net.sf.mpxj.primavera.schema.RiskThresholdLevelType,1,0,34,17,34,0,34,156,1,94,34,YES
Public Class,net.sf.mpxj.primavera.schema.RiskThresholdType,1,0,16,8,16,0,16,75,1,87,16,YES
Public Class,net.sf.mpxj.primavera.schema.RiskType,1,0,69,35,69,0,69,318,1,97,70,YES
Public Class,net.sf.mpxj.primavera.schema.RoleLimitType,1,0,16,8,16,0,16,75,1,87,16,YES
Public Class,net.sf.mpxj.primavera.schema.RoleRateType,1,0,26,13,26,0,26,120,1,92,26,YES
