Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.DHTUDPPacketHelper,4,0,0,0,1,0,0,167,1,0,2,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.DHTUDPPacketReply,10,8,17,12,35,0,11,185,3,78,32,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.DHTUDPPacketReplyError,8,0,10,4,45,0,2,96,4,60,15,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.DHTUDPPacketReplyFindNode,8,0,12,4,47,0,3,109,4,64,21,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.DHTUDPPacketReplyFindValue,10,0,10,4,45,0,4,111,4,57,20,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.DHTUDPPacketReplyKeyBlock,5,0,3,0,38,0,2,30,4,0,3,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.DHTUDPPacketReplyPing,8,0,5,1,40,0,2,63,4,19,11,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.DHTUDPPacketReplyQueryStorage,5,0,7,3,42,0,2,108,4,57,18,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.DHTUDPPacketReplyStats,8,0,8,3,43,0,7,83,4,45,12,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.DHTUDPPacketReplyStore,7,0,5,1,40,0,4,48,4,19,7,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.DHTUDPPacketRequest,8,8,18,11,40,0,9,206,3,76,36,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.DHTUDPPacketRequestFindNode,6,0,10,3,50,0,3,82,4,60,12,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.DHTUDPPacketRequestFindValue,5,0,10,3,50,0,3,81,4,60,11,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.DHTUDPPacketRequestKeyBlock,5,0,9,3,49,0,6,74,4,55,9,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.DHTUDPPacketRequestPing,6,0,7,2,47,0,3,63,4,71,9,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.DHTUDPPacketRequestQueryStorage,4,0,7,2,47,0,3,87,4,42,11,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.DHTUDPPacketRequestStats,5,0,6,1,46,0,5,56,4,33,8,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.DHTUDPPacketRequestStore,8,0,10,3,50,0,3,88,4,60,13,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.DHTUDPUtils,23,0,0,0,35,0,3,965,1,0,108,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.packethandler.DHTUDPPacketHandler,21,0,15,10,15,1,10,267,1,72,38,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.packethandler.DHTUDPPacketHandlerException,0,0,3,0,3,0,3,23,2,0,4,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.packethandler.DHTUDPPacketHandlerFactory,10,0,4,2,5,0,2,111,1,40,15,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.packethandler.DHTUDPPacketHandlerStats,2,0,13,6,13,0,8,86,1,74,13,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.packethandler.DHTUDPPacketNetworkHandler,6,0,3,2,3,0,2,34,1,0,5,NO
Public Class,com.aelitis.azureus.core.dht.transport.util.DHTTransferHandler,19,0,20,14,20,3,13,1238,1,86,116,NO
Public Class,com.aelitis.azureus.core.dht.transport.util.DHTTransportRequestCounter,7,0,12,2,12,0,12,97,1,16,12,NO
Public Abstract Class,com.aelitis.azureus.core.dht.transport.util.DHTTransportStatsImpl,9,2,54,23,54,1,48,476,1,92,89,NO
Public Class,com.aelitis.azureus.core.diskmanager.access.DiskAccessControllerFactory,2,0,0,0,1,0,1,16,1,0,1,NO
Public Class,com.aelitis.azureus.core.diskmanager.access.impl.DiskAccessControllerImpl,9,0,6,2,6,0,6,187,1,33,27,NO
Public Class,com.aelitis.azureus.core.diskmanager.access.impl.DiskAccessControllerInstance,8,0,17,23,18,0,7,598,1,89,36,NO
Public Class,com.aelitis.azureus.core.diskmanager.access.impl.DiskAccessRequestImpl,5,0,13,8,14,0,8,164,1,75,29,NO
Public Class,com.aelitis.azureus.core.diskmanager.cache.CacheFileManagerException,1,0,5,2,5,0,5,44,2,40,5,NO
Public Class,com.aelitis.azureus.core.diskmanager.cache.CacheFileManagerFactory,3,0,0,0,2,0,2,39,1,50,6,NO
Public Class,com.aelitis.azureus.core.diskmanager.cache.impl.CacheEntry,4,0,14,10,14,0,6,101,1,81,15,NO
Public Class,com.aelitis.azureus.core.diskmanager.cache.impl.CacheFileManagerImpl,28,0,31,24,33,0,9,630,1,91,87,NO
Public Class,com.aelitis.azureus.core.diskmanager.cache.impl.CacheFileManagerStatsImpl,4,0,17,10,17,0,15,119,1,84,17,NO
Public Class,com.aelitis.azureus.core.diskmanager.cache.impl.CacheFileWithCache,17,0,41,23,41,0,25,1062,1,90,180,NO
Public Class,com.aelitis.azureus.core.diskmanager.cache.impl.CacheFileWithoutCache,6,0,26,5,26,0,25,289,1,63,51,NO
Public Class,com.aelitis.azureus.core.diskmanager.cache.impl.CacheFileWithoutCacheMT,6,0,28,8,28,0,25,455,1,77,79,NO
Public Class,com.aelitis.azureus.core.diskmanager.file.FMFileManagerException,0,0,4,1,4,0,4,29,2,50,4,NO
Public Class,com.aelitis.azureus.core.diskmanager.file.FMFileManagerFactory,2,0,0,0,1,0,1,8,1,0,1,NO
Public Class,com.aelitis.azureus.core.diskmanager.file.impl.FMFileAccessCompact,6,0,19,11,19,0,10,305,1,83,48,NO
Public Class,com.aelitis.azureus.core.diskmanager.file.impl.FMFileAccessController,13,0,15,5,15,0,12,284,1,66,47,NO
Public Class,com.aelitis.azureus.core.diskmanager.file.impl.FMFileAccessLinear,8,0,12,1,12,0,11,370,1,41,80,NO
Public Class,com.aelitis.azureus.core.diskmanager.file.impl.FMFileAccessPieceReorderer,10,0,19,16,21,4,10,634,1,72,120,NO
Public Abstract Class,com.aelitis.azureus.core.diskmanager.file.impl.FMFileImpl,14,2,35,11,36,3,13,736,1,81,140,NO
Public Class,com.aelitis.azureus.core.diskmanager.file.impl.FMFileLimited,5,0,17,0,53,0,11,219,2,0,24,NO
Public Class,com.aelitis.azureus.core.diskmanager.file.impl.FMFileManagerImpl,16,0,11,11,13,0,4,295,1,80,43,NO
Public Class,com.aelitis.azureus.core.diskmanager.file.impl.FMFileTestImpl,7,0,3,1,51,0,0,63,3,0,11,NO
Public Class,com.aelitis.azureus.core.diskmanager.file.impl.FMFileUnlimited,5,1,12,0,48,0,10,166,2,0,17,NO
Public Class,com.aelitis.azureus.core.download.DiskManagerFileInfoDelegate,6,0,25,2,25,0,25,562,1,52,26,NO
Public Class,com.aelitis.azureus.core.download.DiskManagerFileInfoFile,8,0,25,2,25,0,25,358,1,88,26,NO
Public Class,com.aelitis.azureus.core.download.DiskManagerFileInfoStream,9,0,28,5,28,0,27,588,1,88,33,NO
Public Class,com.aelitis.azureus.core.download.DiskManagerFileInfoURL,12,0,30,7,30,0,30,587,1,93,46,NO
Public Class,com.aelitis.azureus.core.download.DownloadManagerEnhancer,20,0,15,6,17,4,6,476,1,86,59,NO
Public Class,com.aelitis.azureus.core.download.EnhancedDownloadManager,21,0,25,13,25,0,13,982,1,87,84,NO
Public Class,com.aelitis.azureus.core.download.EnhancedDownloadManagerFile,1,0,6,2,6,0,5,38,1,41,6,NO
Public Class,com.aelitis.azureus.core.download.StreamManager,15,0,7,3,8,1,7,731,1,89,13,NO
Public Class,com.aelitis.azureus.core.drivedetector.DriveDetectorFactory,2,0,0,0,1,0,1,10,1,0,2,NO
Public Class,com.aelitis.azureus.core.drivedetector.impl.DriveDetectedInfoImpl,0,0,4,2,4,0,4,19,1,37,4,NO
Public Class,com.aelitis.azureus.core.drivedetector.impl.DriveDetectorImpl,10,0,8,4,9,1,8,150,1,75,19,NO
Public Class,com.aelitis.azureus.core.helpers.TorrentFolderWatcher,19,0,4,7,4,1,3,286,1,57,43,NO
Public Class,com.aelitis.azureus.core.impl.AzureusCoreImpl,89,0,44,24,49,7,37,1872,1,95,205,NO
Public Class,com.aelitis.azureus.core.impl.AzureusCoreSingleInstanceClient,1,0,1,0,4,0,4,101,1,0,19,NO
Public Class,com.aelitis.azureus.core.instancemanager.AZInstanceManagerFactory,3,0,0,0,1,0,1,9,1,0,1,NO
Public Abstract Class,com.aelitis.azureus.core.instancemanager.impl.AZInstanceImpl,0,2,3,0,3,0,1,40,1,0,5,NO
Public Class,com.aelitis.azureus.core.instancemanager.impl.AZInstanceManagerImpl,28,0,50,23,51,2,23,975,1,94,140,YES
Public Class,com.aelitis.azureus.core.instancemanager.impl.AZMyInstanceImpl,13,0,13,12,16,3,9,249,2,85,44,NO
Public Class,com.aelitis.azureus.core.instancemanager.impl.AZOtherInstanceImpl,3,0,12,9,16,0,9,144,2,79,20,NO
Public Class,com.aelitis.azureus.core.instancemanager.impl.AZPortClashHandler,6,0,6,4,6,0,4,77,1,79,14,NO
Public Class,com.aelitis.azureus.core.lws.LightWeightSeed,28,0,30,17,35,0,15,498,2,88,61,NO
Public Class,com.aelitis.azureus.core.lws.LightWeightSeedManager,23,0,12,9,13,0,3,259,1,79,35,NO
Public Class,com.aelitis.azureus.core.lws.LWSDiskManager,40,0,76,15,76,0,73,601,1,95,95,NO
Public Class,com.aelitis.azureus.core.lws.LWSDiskManagerState,8,0,78,1,78,0,77,396,1,96,78,NO
