Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,Alter
Public Class,com.logicaldoc.core.security.authentication.AuthenticationChain,14,0,7,1,11,1,5,99,1,78,25,NO
Public Class,com.logicaldoc.core.security.authentication.AuthenticationException,0,6,2,0,2,0,2,9,3,0,2,NO
Public Class,com.logicaldoc.core.security.authentication.DefaultAuthenticator,8,0,2,1,6,0,2,22,3,0,7,NO
Public Class,com.logicaldoc.core.security.authentication.IPBlockedException,0,0,2,0,4,0,2,8,2,0,2,NO
Public Class,com.logicaldoc.core.security.authentication.PasswordExpiredException,0,0,2,0,4,0,2,9,2,0,2,NO
Public Class,com.logicaldoc.core.security.authentication.UsernameBlockedException,0,0,2,0,4,0,2,8,2,0,2,NO
Public Class,com.logicaldoc.core.security.authentication.WrongPasswordException,0,0,2,0,4,0,2,10,3,0,2,NO
Public Class,com.logicaldoc.core.security.Client,0,0,11,3,11,0,11,49,3,60,14,YES
Public Class,com.logicaldoc.core.security.dao.HibernateGroupDAO,9,0,14,1,66,1,13,189,3,85,38,YES
Public Class,com.logicaldoc.core.security.dao.HibernateGroupDAOTest,5,0,8,2,14,0,8,85,3,58,8,NO
Public Class,com.logicaldoc.core.security.dao.HibernateMenuDAO,11,0,29,1,81,0,28,610,1,65,146,YES
Public Class,com.logicaldoc.core.security.dao.HibernateMenuDAOTest,8,0,21,1,27,0,21,245,2,0,21,YES
Public Class,com.logicaldoc.core.security.dao.HibernateSessionDAO,4,0,7,0,59,0,6,80,2,0,20,NO
Public Class,com.logicaldoc.core.security.dao.HibernateSessionDAOTest,3,0,5,1,11,0,5,39,2,0,5,NO
Public Class,com.logicaldoc.core.security.dao.HibernateTenantDAO,12,0,15,9,67,0,14,95,2,93,21,NO
Public Class,com.logicaldoc.core.security.dao.HibernateUserDAO,20,0,30,4,83,3,28,407,2,90,97,YES
Public Class,com.logicaldoc.core.security.dao.HibernateUserDAOTest,11,0,14,2,20,0,14,194,2,39,14,YES
Public Class,com.logicaldoc.core.security.dao.HibernateUserHistoryDAO,7,0,5,0,57,1,4,56,2,0,12,YES
Public Class,com.logicaldoc.core.security.dao.HibernateUserHistoryDAOTest,7,0,5,1,11,0,5,68,2,0,8,NO
Public Class,com.logicaldoc.core.security.Group,4,0,18,5,31,0,18,78,2,84,22,NO
Public Class,com.logicaldoc.core.security.LoginThrottle,15,0,0,0,3,0,3,100,2,33,24,NO
Public Class,com.logicaldoc.core.security.Menu,1,0,25,9,38,0,25,133,2,89,30,YES
Public Class,com.logicaldoc.core.security.MenuGroup,1,0,17,5,17,0,17,75,2,80,26,NO
Public Class,com.logicaldoc.core.security.SecurityManagerImpl,15,0,15,5,15,1,14,108,1,75,29,YES
Public Class,com.logicaldoc.core.security.SecurityManagerImplTest,8,0,7,3,13,0,7,99,2,42,10,NO
Public Class,com.logicaldoc.core.security.Session,11,0,44,15,57,1,35,270,1,90,61,NO
Public Class,com.logicaldoc.core.security.Session.Log,0,0,5,3,5,0,5,23,1,60,5,NO
Public Class,com.logicaldoc.core.security.SessionManager,14,0,29,4,32,5,27,302,2,89,84,YES
Public Class,com.logicaldoc.core.security.SessionManagerTest,4,0,3,0,9,0,3,43,2,0,4,NO
Public Class,com.logicaldoc.core.security.spring.AdminAuthenticationProvider,6,0,3,0,3,0,3,48,1,0,10,NO
Public Class,com.logicaldoc.core.security.spring.AnonymousLoginFilter,4,0,2,0,2,0,2,40,2,50,9,NO
Public Class,com.logicaldoc.core.security.spring.LDAccessDecisionManager,2,0,4,0,4,0,4,32,2,0,8,NO
Public Class,com.logicaldoc.core.security.spring.LDAuthenticationDetails,0,0,2,1,2,0,2,13,2,0,3,NO
Public Class,com.logicaldoc.core.security.spring.LDAuthenticationDetailsSource,1,0,1,0,1,0,1,5,1,0,1,NO
Public Class,com.logicaldoc.core.security.spring.LDAuthenticationFailureHandler,2,0,1,0,1,0,1,34,2,0,6,NO
Public Class,com.logicaldoc.core.security.spring.LDAuthenticationProvider,11,0,3,0,3,0,3,56,2,66,12,NO
Public Class,com.logicaldoc.core.security.spring.LDAuthenticationSuccessHandler,3,0,1,0,1,0,1,28,2,0,4,NO
Public Class,com.logicaldoc.core.security.spring.LDAuthenticationToken,0,0,7,2,7,0,7,33,2,64,8,NO
Public Class,com.logicaldoc.core.security.spring.LDSecurityContextRepository,3,0,3,0,5,0,5,46,1,19,11,YES
Public Class,com.logicaldoc.core.security.spring.SessionIdFilter,7,0,2,0,2,0,2,43,1,50,8,NO
Public Class,com.logicaldoc.core.security.Tenant,0,0,43,19,56,0,43,195,1,94,50,NO
Public Class,com.logicaldoc.core.security.User,6,0,96,42,109,1,95,433,2,97,124,YES
Public Class,com.logicaldoc.core.security.UserGroup,0,0,7,1,7,0,7,38,1,14,11,NO
Public Class,com.logicaldoc.core.security.UserHistory,0,0,3,1,66,0,3,34,2,33,3,NO
