CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
36,0,32,37,32,2,23,1096,1,91,155,YES
8,0,21,13,21,0,18,204,1,88,39,YES
9,0,4,3,4,0,3,112,1,50,18,YES
11,0,15,11,16,1,10,413,1,84,70,YES
10,0,17,6,17,0,11,253,1,82,44,YES
29,0,29,16,35,0,26,724,2,91,85,YES
14,0,51,11,159,1,47,477,2,91,90,YES
34,0,20,3,61,3,12,416,2,82,71,YES
21,0,0,0,7,2,3,604,1,77,103,YES
21,0,24,2,25,1,20,660,1,73,45,YES
25,0,66,9,70,12,55,1006,1,93,219,YES
0,0,4,1,4,0,4,15,1,0,4,YES
3,0,14,1,14,0,13,57,1,0,18,YES
11,0,0,0,9,0,9,69,1,0,10,YES
0,0,10,5,13,0,9,66,2,74,10,YES
1,0,20,10,23,0,19,122,2,85,26,YES
21,0,11,12,11,0,9,567,1,84,39,YES
19,0,8,10,8,0,8,444,1,75,25,YES
23,0,8,11,8,0,8,501,1,70,32,YES
2,0,3,2,3,0,1,45,1,0,5,YES
22,0,44,14,44,0,42,603,1,92,95,YES
77,0,94,42,109,15,82,2149,2,96,360,YES
1,0,6,4,6,0,2,44,1,62,7,YES
7,0,3,3,3,0,1,110,1,46,10,YES
30,0,0,1,12,1,8,990,1,97,90,YES
1,0,2,1,2,0,1,17,1,0,2,YES
4,0,2,4,2,0,1,76,1,50,3,YES
1,0,4,3,4,0,4,25,1,50,4,YES
12,0,11,3,11,4,7,200,1,66,21,YES
22,0,7,10,20,1,12,809,1,89,139,YES
20,0,3,2,3,0,3,472,1,33,23,YES
65,0,100,37,106,5,78,2085,2,96,250,YES
16,0,0,5,12,4,2,380,2,100,36,YES
91,0,190,62,197,8,153,3598,2,97,561,YES
14,0,0,0,4,1,3,417,1,68,40,YES
43,0,87,13,101,2,85,2921,1,95,355,YES
12,0,61,26,61,3,53,798,1,92,152,YES
0,0,3,1,3,0,3,22,2,33,3,YES
14,0,4,8,4,2,0,1049,1,65,41,YES
10,0,5,2,5,0,1,62,1,40,12,YES
68,0,88,43,95,5,72,2842,2,96,388,YES
8,0,4,7,11,1,3,120,3,64,27,YES
6,0,32,21,32,0,29,170,1,92,42,YES
5,0,2,1,2,0,0,30,1,0,3,YES
18,0,23,15,24,15,9,699,1,88,64,YES
2,0,0,0,8,0,8,258,1,0,49,YES
1,1,5,1,5,0,1,49,1,19,8,YES
3,0,3,0,8,0,3,84,2,0,17,YES
7,0,21,12,22,2,14,452,2,86,85,YES
12,0,0,0,9,0,8,244,1,66,49,YES
7,0,9,4,10,1,6,140,1,80,29,YES
1,0,5,3,5,0,4,47,1,46,10,YES
2,0,7,1,7,0,4,109,1,82,21,YES
2,0,5,2,5,0,4,78,1,40,14,YES
9,0,0,0,31,5,24,577,1,91,119,YES
4,0,1,0,1,0,1,17,1,0,1,YES
5,2,18,7,18,0,6,286,1,79,43,YES
0,2,4,1,22,0,2,38,2,50,6,YES
1,0,5,3,5,0,3,34,1,60,5,YES
3,0,6,2,7,0,7,82,1,57,10,YES
1,0,6,3,6,0,4,50,1,44,7,YES
2,0,6,5,6,0,6,31,1,66,6,YES
12,0,14,6,15,0,7,281,1,73,50,YES
20,0,8,2,8,5,2,450,1,70,80,YES
30,0,50,16,51,6,40,977,1,90,163,YES
8,0,9,1,10,0,10,131,1,75,32,YES
7,0,12,9,12,6,5,235,1,82,54,YES
12,0,16,10,16,0,16,187,1,86,41,YES
4,0,14,8,14,0,14,77,1,83,20,YES
1,0,11,6,11,0,11,48,1,92,11,YES
9,0,0,0,15,0,15,72,1,50,15,YES
86,0,185,78,190,36,146,3651,2,97,766,YES
2,0,2,1,2,0,2,10,1,0,2,YES
5,0,7,5,7,0,7,62,1,61,14,YES
7,0,38,28,38,0,38,253,1,93,51,YES
5,0,0,0,4,0,4,48,1,50,5,YES
11,0,56,15,56,0,55,542,1,87,116,YES
0,0,5,4,5,0,5,33,1,60,5,YES
2,0,4,4,4,0,2,94,1,68,15,YES
121,0,206,122,212,33,138,3748,2,97,730,YES
7,0,0,0,7,0,7,167,1,57,16,YES
19,0,0,1,15,3,12,410,1,93,75,YES
8,0,0,0,2,0,1,58,1,0,7,YES
20,0,43,14,45,3,35,1110,1,93,159,YES
4,0,0,0,30,0,30,187,1,0,30,YES
18,0,6,1,35,0,0,247,2,66,18,YES
11,0,8,8,9,0,5,128,1,81,25,YES
2,0,2,1,2,0,2,18,1,0,2,YES
17,0,17,22,18,7,11,835,1,87,114,YES
24,0,19,33,21,9,12,979,1,90,128,YES
8,0,10,6,10,0,10,95,1,65,12,YES
12,0,24,29,29,6,16,408,2,89,59,YES
7,0,0,0,5,0,5,48,1,53,7,YES
2,0,16,11,16,0,16,115,1,83,22,YES
21,0,46,25,47,1,46,573,1,93,127,YES
4,0,5,2,5,0,3,41,1,19,5,YES
2,0,3,2,3,0,2,27,1,33,4,YES
10,0,18,13,99,3,3,450,3,85,67,YES
9,0,14,13,14,5,9,336,1,79,58,YES
13,0,12,0,91,0,5,540,3,0,117,YES
4,0,8,13,8,0,0,159,1,71,29,YES
24,2,74,21,79,0,50,878,2,93,167,YES
14,0,11,0,11,0,2,294,1,0,59,YES
5,0,4,1,33,0,0,170,2,25,21,YES
0,0,3,1,3,0,3,36,2,33,3,YES
7,0,0,0,16,0,16,166,1,0,16,YES
21,1,28,24,35,2,24,721,3,90,157,YES
5,0,9,7,10,0,10,80,1,76,24,YES
7,0,0,0,16,2,14,361,1,0,18,YES
24,0,15,5,15,2,5,346,1,74,59,YES
51,0,21,14,21,3,3,1040,1,85,199,YES
74,0,61,47,61,7,37,2319,1,94,449,YES
10,0,7,2,8,0,6,97,1,65,17,YES
3,0,7,2,31,0,5,60,2,57,8,YES
26,0,36,9,36,0,36,298,1,89,47,YES
14,0,6,2,7,0,6,131,1,67,19,YES
1,0,5,1,29,0,4,36,2,60,5,YES
9,0,0,0,4,0,4,86,1,8,12,YES
23,1,17,8,20,1,11,495,1,86,60,YES
26,0,35,18,55,4,22,1123,2,89,170,YES
3,0,22,11,22,0,22,189,1,82,30,YES
