Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
Class,net.sourceforge.plantuml.graphic.USymbolLabel,5,0,5,1,17,1,4,65,2,60,5,NO
Class,net.sourceforge.plantuml.graphic.USymbolNode,12,0,7,0,19,2,5,108,2,0,9,NO
Class,net.sourceforge.plantuml.graphic.USymbolQueue,9,0,6,1,18,3,3,105,2,66,7,NO
Class,net.sourceforge.plantuml.graphic.USymbolStack,11,0,5,0,17,2,3,80,2,0,7,NO
Class,net.sourceforge.plantuml.graphic.USymbolStorage,8,0,5,0,17,2,3,56,2,0,6,NO
Class,net.sourceforge.plantuml.graphic.USymbolTogether,5,0,3,0,15,0,3,21,2,0,3,NO
Class,net.sourceforge.plantuml.hector.SmartConnection,7,0,5,5,5,1,4,56,1,43,10,NO
Class,net.sourceforge.plantuml.hector.UnlinarCompressedPlan,5,0,10,2,10,1,9,80,1,50,15,NO
Class,net.sourceforge.plantuml.hector.UnlinearCompression,1,0,6,2,7,2,5,63,1,35,14,NO
Class,net.sourceforge.plantuml.json.JsonLiteral,1,0,10,4,42,0,8,58,2,62,14,NO
Class,net.sourceforge.plantuml.json.JsonNumber,1,0,10,1,42,0,8,55,2,9,14,NO
Class,net.sourceforge.plantuml.json.JsonString,1,0,6,1,38,0,4,39,2,16,10,NO
Class,net.sourceforge.plantuml.json.JsonWriter,0,1,13,1,14,1,0,96,1,7,26,NO
Class,net.sourceforge.plantuml.json.WritingBuffer,0,0,7,3,7,0,5,51,2,38,12,NO
Class,net.sourceforge.plantuml.logo.LogoScanner,1,0,8,4,8,0,7,117,1,46,21,NO
Class,net.sourceforge.plantuml.logo.LogoToken,0,0,0,4,0,0,0,23,1,0,0,NO
Class,net.sourceforge.plantuml.logo.TurtleGraphicsPane,14,0,16,11,16,2,13,132,1,82,22,YES
Class,net.sourceforge.plantuml.LZWEncoder,0,0,10,23,10,1,0,161,1,80,30,NO
Class,net.sourceforge.plantuml.mindmap.Idea,4,0,13,8,13,1,12,60,1,82,13,NO
Class,net.sourceforge.plantuml.NeuQuant,0,0,10,9,10,0,7,327,1,74,63,NO
Class,net.sourceforge.plantuml.png.PngSegment,0,0,3,2,3,0,3,20,1,0,5,NO
Class,net.sourceforge.plantuml.preproc.NumericCompare,0,0,2,1,2,0,2,27,1,0,8,NO
Class,net.sourceforge.plantuml.real.PositiveForce,3,0,3,5,3,0,3,51,1,19,9,NO
Class,net.sourceforge.plantuml.real.RealDelta,0,0,5,2,17,0,2,22,3,9,5,NO
Class,net.sourceforge.plantuml.real.RealImpl,2,0,6,1,18,0,4,25,3,33,6,NO
Class,net.sourceforge.plantuml.real.RealLine,5,0,9,4,10,2,4,105,1,80,21,NO
Class,net.sourceforge.plantuml.real.RealMax,2,0,7,2,14,0,5,48,2,68,11,NO
