CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,Alter
1,0,1,0,1,0,1,26,2,0,2,NO
1,0,1,0,1,0,1,30,2,0,5,NO
0,0,1,0,1,0,1,14,2,0,3,NO
0,0,1,0,1,0,1,24,2,0,3,NO
1,0,1,0,1,0,1,20,2,0,1,NO
1,0,1,0,1,0,1,23,2,0,2,NO
1,0,0,0,5,0,5,117,1,40,7,YES
1,0,2,1,2,0,2,12,1,0,3,NO
1,0,1,0,1,0,1,15,1,0,6,NO
1,0,3,1,3,0,3,17,1,33,4,NO
1,0,1,0,1,0,1,8,1,0,2,NO
0,0,1,0,1,0,1,10,1,0,3,NO
2,0,1,0,24,1,23,162,1,86,53,NO
1,0,0,0,3,0,3,30,1,0,9,NO
0,0,2,0,4,0,2,9,3,0,2,NO
1,0,1,0,1,0,0,12,2,0,2,NO
3,0,6,1,7,2,5,77,2,78,12,NO
4,0,2,1,3,0,3,72,2,50,3,NO
7,0,1,0,8,1,7,58,1,0,19,NO
1,0,0,0,2,0,2,78,1,0,3,YES
2,0,12,1,13,1,12,99,1,53,33,NO
3,0,8,1,9,1,8,64,1,55,21,NO
2,0,6,1,7,1,6,31,1,57,13,NO
0,4,2,0,2,0,2,8,2,0,2,NO
19,0,46,8,47,0,47,247,1,93,55,YES
4,0,0,0,10,0,10,58,1,0,14,NO
0,0,1,1,7,1,6,91,1,90,21,NO
4,0,0,0,2,0,2,70,1,50,2,NO
9,0,0,0,16,0,16,144,1,0,38,NO
43,0,0,20,100,1,99,1400,1,100,173,YES
4,0,0,0,8,0,8,276,1,0,16,YES
0,0,19,9,19,0,11,83,1,88,23,NO
12,0,0,0,74,5,69,702,1,98,192,YES
4,0,0,0,23,8,15,78,1,0,8,NO
1,0,1,0,1,0,1,7,2,0,1,NO
1,0,1,0,1,0,1,7,2,0,1,NO
1,0,1,0,1,0,1,6,2,0,1,NO
1,0,2,0,2,0,2,8,1,0,2,NO
14,0,6,0,6,1,5,99,1,83,26,NO
2,0,26,12,26,0,26,93,1,91,26,NO
1,0,1,1,3,1,2,39,2,50,4,NO
0,0,1,0,1,0,1,63,1,0,1,YES
2,0,7,4,7,0,7,59,2,64,9,NO
2,0,5,4,5,3,2,93,2,44,8,NO
2,0,3,4,5,2,3,70,2,33,8,NO
2,0,1,0,2,1,1,34,2,50,3,NO
8,0,2,0,4,0,4,55,2,0,3,NO
1,0,3,1,3,0,3,36,2,0,4,NO
3,0,2,0,2,0,2,20,2,0,3,NO
2,0,2,0,2,0,1,23,2,0,3,NO
0,0,1,0,1,0,1,8,2,0,1,NO
0,0,13,6,13,0,13,115,2,69,16,NO
3,0,1,0,1,0,1,20,2,0,3,NO
0,0,15,4,15,0,15,122,2,68,18,YES
2,0,3,4,3,0,3,49,2,50,7,NO
0,0,3,2,3,0,3,24,2,50,5,NO
1,0,2,0,2,0,2,25,2,0,6,NO
0,0,1,0,1,0,1,21,2,0,1,YES
7,0,2,0,2,1,1,157,2,0,23,NO
11,0,9,12,9,7,2,213,2,70,38,NO
5,0,4,5,4,2,2,90,2,60,7,NO
3,0,2,2,2,1,1,54,2,25,5,NO
0,20,4,0,4,0,4,19,2,0,5,NO
1,0,1,0,2,1,1,31,2,50,3,NO
2,0,1,0,2,0,2,40,2,0,2,YES
1,0,1,0,1,0,1,4,2,0,1,NO
6,0,4,3,4,0,3,93,2,58,4,NO
3,0,1,0,1,0,1,34,2,0,2,YES
9,0,1,0,2,1,1,48,2,50,9,NO
1,94,1,3,1,0,1,17,2,0,1,NO
2,0,5,2,6,1,5,37,2,66,9,NO
9,0,5,9,5,1,4,152,2,11,7,NO
10,0,13,9,14,2,10,272,2,72,15,NO
13,0,8,6,8,7,1,538,2,66,36,NO
2,0,1,0,1,0,1,83,2,0,2,NO
2,0,4,3,5,1,4,57,2,65,7,NO
2,0,8,2,9,1,8,61,2,74,15,NO
3,0,3,1,4,1,3,61,2,62,4,NO
1,0,4,1,5,1,4,23,1,60,9,NO
5,0,9,2,9,2,4,102,2,77,13,NO
7,0,3,1,3,0,2,60,2,66,4,NO
5,0,12,2,12,3,6,137,2,75,20,NO
10,0,14,8,15,2,13,121,2,85,30,NO
4,0,3,1,10,1,1,31,3,66,4,NO
10,10,6,2,7,0,4,82,2,64,13,NO
2,0,1,1,1,0,1,57,2,0,1,NO
8,0,6,3,13,2,2,127,3,83,8,NO
8,0,6,3,13,2,2,180,3,72,13,NO
